Topic,Category,Term,Occurrences
0,Generic policy,data,14
0,Generic policy,spark,2
0,Generic policy,using,22
0,Generic policy,pytorch,10
0,Generic policy,untrusted,20
0,Generic policy,access,1
0,Generic policy,distributed,16
0,Generic policy,configuration,0
0,Generic policy,run,0
0,Generic policy,secret,0
0,Reporting mechanism,data,3
0,Reporting mechanism,spark,0
0,Reporting mechanism,using,16
0,Reporting mechanism,pytorch,6
0,Reporting mechanism,untrusted,0
0,Reporting mechanism,access,1
0,Reporting mechanism,distributed,0
0,Reporting mechanism,configuration,5
0,Reporting mechanism,run,3
0,Reporting mechanism,secret,0
0,Scope of practise,data,0
0,Scope of practise,spark,0
0,Scope of practise,using,3
0,Scope of practise,pytorch,0
0,Scope of practise,untrusted,0
0,Scope of practise,access,0
0,Scope of practise,distributed,0
0,Scope of practise,configuration,0
0,Scope of practise,run,2
0,Scope of practise,secret,0
0,User guideline,data,45
0,User guideline,spark,163
0,User guideline,using,59
0,User guideline,pytorch,24
0,User guideline,untrusted,49
0,User guideline,access,47
0,User guideline,distributed,17
0,User guideline,configuration,34
0,User guideline,run,67
0,User guideline,secret,29
1,Generic policy,issue,24
1,Generic policy,report,35
1,Generic policy,please,9
1,Generic policy,reporting,15
1,Generic policy,email,3
1,Generic policy,bug,3
1,Generic policy,disclosure,7
1,Generic policy,public,3
1,Generic policy,team,2
1,Reporting mechanism,issue,170
1,Reporting mechanism,report,267
1,Reporting mechanism,please,103
1,Reporting mechanism,reporting,115
1,Reporting mechanism,email,50
1,Reporting mechanism,bug,34
1,Reporting mechanism,disclosure,28
1,Reporting mechanism,public,42
1,Reporting mechanism,team,19
1,Scope of practise,issue,6
1,Scope of practise,report,1
1,Scope of practise,please,8
1,Scope of practise,reporting,0
1,Scope of practise,email,0
1,Scope of practise,bug,12
1,Scope of practise,disclosure,0
1,Scope of practise,public,0
1,Scope of practise,team,0
1,User guideline,issue,41
1,User guideline,report,24
1,User guideline,please,23
1,User guideline,reporting,10
1,User guideline,email,1
1,User guideline,bug,14
1,User guideline,disclosure,4
1,User guideline,public,18
1,User guideline,team,0
2,Generic policy,project,40
2,Generic policy,following,2
2,Generic policy,software,13
2,Generic policy,process,9
2,Generic policy,get,6
2,Generic policy,discovered,0
2,Generic policy,read,1
2,Generic policy,working,6
2,Generic policy,apache,24
2,Reporting mechanism,project,39
2,Reporting mechanism,following,16
2,Reporting mechanism,software,13
2,Reporting mechanism,process,11
2,Reporting mechanism,get,14
2,Reporting mechanism,discovered,7
2,Reporting mechanism,read,6
2,Reporting mechanism,working,5
2,Reporting mechanism,apache,23
2,Scope of practise,project,17
2,Scope of practise,following,6
2,Scope of practise,software,0
2,Scope of practise,process,0
2,Scope of practise,get,2
2,Scope of practise,discovered,2
2,Scope of practise,read,1
2,Scope of practise,working,0
2,Scope of practise,apache,4
2,User guideline,project,10
2,User guideline,following,14
2,User guideline,software,3
2,User guideline,process,20
2,User guideline,get,9
2,User guideline,discovered,2
2,User guideline,read,22
2,User guideline,working,2
2,User guideline,apache,11
3,Generic policy,update,0
3,Generic policy,source,6
3,Generic policy,help,4
3,Generic policy,including,2
3,Generic policy,message,1
3,Generic policy,injection,0
3,Generic policy,exploit,0
3,Generic policy,etc,0
3,Generic policy,related,0
3,Generic policy,affected,0
3,Reporting mechanism,update,2
3,Reporting mechanism,source,25
3,Reporting mechanism,help,11
3,Reporting mechanism,including,7
3,Reporting mechanism,message,1
3,Reporting mechanism,injection,4
3,Reporting mechanism,exploit,13
3,Reporting mechanism,etc,14
3,Reporting mechanism,related,7
3,Reporting mechanism,affected,6
3,Scope of practise,update,43
3,Scope of practise,source,2
3,Scope of practise,help,0
3,Scope of practise,including,0
3,Scope of practise,message,0
3,Scope of practise,injection,0
3,Scope of practise,exploit,0
3,Scope of practise,etc,0
3,Scope of practise,related,0
3,Scope of practise,affected,0
3,User guideline,update,7
3,User guideline,source,30
3,User guideline,help,13
3,User guideline,including,8
3,User guideline,message,8
3,User guideline,injection,14
3,User guideline,exploit,3
3,User guideline,etc,14
3,User guideline,related,12
3,User guideline,affected,2
4,Generic policy,github,35
4,Generic policy,repository,13
4,Generic policy,feature,12
4,Generic policy,communication,0
4,Generic policy,case,0
4,Generic policy,includes,3
4,Generic policy,tool,1
4,Generic policy,merge,0
4,Generic policy,ensure,2
4,Generic policy,two,0
4,Reporting mechanism,github,85
4,Reporting mechanism,repository,14
4,Reporting mechanism,feature,6
4,Reporting mechanism,communication,6
4,Reporting mechanism,case,0
4,Reporting mechanism,includes,6
4,Reporting mechanism,tool,7
4,Reporting mechanism,merge,0
4,Reporting mechanism,ensure,4
4,Reporting mechanism,two,3
4,Scope of practise,github,5
4,Scope of practise,repository,1
4,Scope of practise,feature,8
4,Scope of practise,communication,0
4,Scope of practise,case,3
4,Scope of practise,includes,0
4,Scope of practise,tool,4
4,Scope of practise,merge,0
4,Scope of practise,ensure,0
4,Scope of practise,two,0
4,User guideline,github,27
4,User guideline,repository,12
4,User guideline,feature,12
4,User guideline,communication,15
4,User guideline,case,20
4,User guideline,includes,6
4,User guideline,tool,20
4,User guideline,merge,3
4,User guideline,ensure,18
4,User guideline,two,49
5,Generic policy,version,6
5,Generic policy,supported,0
5,Generic policy,support,0
5,Generic policy,latest,0
5,Generic policy,branch,0
5,Generic policy,tell,0
5,Generic policy,table,1
5,Generic policy,current,2
5,Generic policy,development,0
5,Generic policy,older,2
5,Reporting mechanism,version,13
5,Reporting mechanism,supported,8
5,Reporting mechanism,support,12
5,Reporting mechanism,latest,2
5,Reporting mechanism,branch,2
5,Reporting mechanism,tell,4
5,Reporting mechanism,table,4
5,Reporting mechanism,current,3
5,Reporting mechanism,development,0
5,Reporting mechanism,older,2
5,Scope of practise,version,256
5,Scope of practise,supported,185
5,Scope of practise,support,217
5,Scope of practise,latest,44
5,Scope of practise,branch,7
5,Scope of practise,tell,4
5,Scope of practise,table,9
5,Scope of practise,current,35
5,Scope of practise,development,11
5,Scope of practise,older,12
5,User guideline,version,35
5,User guideline,supported,10
5,User guideline,support,56
5,User guideline,latest,3
